"","Predator","Predator_Size","Median_N","Max_N","Min_N"
"153","Inactive Cephs",0.0158489319246111,0.0815385173494046,0.0906916853583212,0.0719667454470232
"154","Inactive Cephs",0.0199526231496888,0.0716506206877606,0.0801893017801986,0.0628493172019908
"155","Inactive Cephs",0.0251188643150958,0.0622087297901412,0.0699446548358142,0.0543166840409478
"156","Inactive Cephs",0.0316227766016838,0.0531806236843007,0.0599468151792117,0.0463237740987004
"157","Inactive Cephs",0.0398107170553497,0.0446925965930177,0.0503835662299027,0.038947435356044
"158","Inactive Cephs",0.0501187233627271,0.0369659337990308,0.0415723949184713,0.0323272746411821
"159","Inactive Cephs",0.0630957344480194,0.0302150785272236,0.0338321131965461,0.0265865597795383
"160","Inactive Cephs",0.0794328234724282,0.0245461332305077,0.0273414937014351,0.0217637759991784
"161","Inactive Cephs",0.1,0.0199058531974057,0.0220614830033247,0.017786007265242
"162","Inactive Cephs",0.125892541179417,0.0161133747586272,0.0177763287355828,0.0144987213189916
"163","Inactive Cephs",0.158489319246111,0.0129550780571086,0.0142249947174826,0.0117339438443609
"164","Inactive Cephs",0.199526231496888,0.0102744059220515,0.011220507012341,0.00937110952428234
"165","Inactive Cephs",0.251188643150958,0.00799900702532771,0.00868006927671519,0.00735375932282744
"166","Inactive Cephs",0.316227766016838,0.00610861657301875,0.00658083975098348,0.0056652005052146
"167","Inactive Cephs",0.398107170553497,0.00458890377374884,0.00490463883594523,0.00429396715234044
"168","Inactive Cephs",0.501187233627271,0.00340670367888563,0.00361122176656131,0.00321424479644384
"169","Inactive Cephs",0.630957344480194,0.00251085459221339,0.00264033572966848,0.0023854639480449
"170","Inactive Cephs",0.794328234724282,0.00184437772227816,0.0019255785927241,0.00176128868960273
"171","Inactive Cephs",1,0.00135469543484798,0.00140602402081173,0.00129776682516998
"172","Inactive Cephs",1.25892541179417,0.000997912637144838,0.00103128434424502,0.000957123664323439
"173","Inactive Cephs",1.58489319246111,0.000739210228563313,0.000761982561419024,0.00070853700602982
"174","Inactive Cephs",1.99526231496888,0.000551844988348985,0.000568400588676548,0.000527735851290738
"175","Inactive Cephs",2.51188643150958,0.000415829514206423,0.000428703821092802,0.000396202596369274
"176","Inactive Cephs",3.16227766016838,0.000316570977924466,0.000327194558171516,0.000300191394238992
"177","Inactive Cephs",3.98107170553497,0.000243595759708057,0.000252759718329623,0.000229706159669942
"178","Inactive Cephs",5.01187233627271,0.000189462111286278,0.000197598656094687,0.00017757251548109
"179","Inactive Cephs",6.30957344480194,0.000148904406673105,0.000156249529867378,0.000138676573220116
"180","Inactive Cephs",7.94328234724282,0.000118195374623673,0.000124879418230266,0.000109380288119307
"181","Inactive Cephs",10,9.46849573996554e-05,0.000100780813493301,8.70890609099649e-05
"182","Inactive Cephs",12.5892541179417,7.64708864826896e-05,8.20182384026924e-05,6.99379034376242e-05
"183","Inactive Cephs",15.8489319246111,6.21643912575637e-05,6.71810504250134e-05,5.65660874457112e-05
"184","Inactive Cephs",19.9526231496888,5.0726750596816e-05,5.52139383745836e-05,4.59589410594831e-05
"185","Inactive Cephs",25.1188643150958,4.13631989520173e-05,4.53094505842582e-05,3.73439844368292e-05
"186","Inactive Cephs",31.6227766016838,3.34648530036124e-05,3.68516509580776e-05,3.01321303761238e-05
"187","Inactive Cephs",39.8107170553497,2.6585218735821e-05,2.93953313011505e-05,2.38915069794325e-05
"188","Inactive Cephs",50.1187233627271,2.04311809347826e-05,2.26581224792091e-05,1.83359942853791e-05
"189","Inactive Cephs",63.0957344480194,1.48484136213025e-05,1.65038779911031e-05,1.33104490179621e-05
"190","Inactive Cephs",79.4328234724282,9.79114634197025e-06,1.09078108275873e-05,8.76293449420466e-06
"191","Inactive Cephs",100,5.28997244420255e-06,5.92039986155811e-06,4.71520172118516e-06
"192","Inactive Cephs",125.892541179417,2.87211519555829e-06,3.228385579705e-06,2.55017644599508e-06
"193","Inactive Cephs",158.489319246111,1.57163616041819e-06,1.77397590311286e-06,1.39030608713248e-06
"194","Inactive Cephs",199.526231496888,8.68913952714474e-07,9.84758450810433e-07,7.65919832114617e-07
"195","Inactive Cephs",251.188643150958,4.86324556974303e-07,5.53334548617954e-07,4.27206501771717e-07
"196","Inactive Cephs",316.227766016838,2.75947751135269e-07,3.15170626170526e-07,2.41604916196799e-07
"197","Inactive Cephs",398.107170553497,1.58889345202538e-07,1.82142454666949e-07,1.38679288976239e-07
"198","Inactive Cephs",501.187233627271,9.28867157013632e-08,1.06855437764464e-07,8.08329713759329e-08
"199","Inactive Cephs",630.957344480194,5.51378880071638e-08,6.36410030520876e-08,4.78511299451514e-08
"200","Inactive Cephs",794.328234724282,3.32245814590073e-08,3.84677198162874e-08,2.87610644862064e-08
"201","Inactive Cephs",1000,2.03082502607082e-08,2.35806645141024e-08,1.75397202666798e-08
"202","Inactive Cephs",1258.92541179417,1.25763402960607e-08,1.46410835603056e-08,1.0839605595127e-08
"203","Inactive Cephs",1584.89319246111,7.87517702426509e-09,9.18962110488233e-09,6.77538331003355e-09
"204","Inactive Cephs",1995.26231496888,4.97145178579116e-09,5.81323438038157e-09,4.27046960318861e-09
